user,Total Sleep Time,Sleep Fragmentation Index
user_5,348,21.1
user_2,244,20.616
user_3,351,18.962
user_4,319,23.133000000000003
user_22,304,28.44
user_14,374,11.408
user_13,247,33.746
user_12,343,24.451
user_15,236,18.561
user_1,144,19.091
user_6,333,15.395
user_8,336,43.233999999999995
user_9,578,8.095
user_7,342,45.526
user_21,273,6.734
user_19,340,41.176
user_10,247,28.361
user_17,306,28.423
user_16,339,31.613000000000003
user_18,302,36.48
user_20,384,11.009
